Nr of publication,Cation 1,,Cation 2,,Cation 3,,Cation 4,,Anion 1,,Anion 2,,Pro- motor,Support 1,,Support 2,,,Preparation,"Temperature, K","p(CH4), bar","p(O2), bar",p(CH4)/p(O2),"P total, bar","Contact time, s","X(O2), %","X(CH4), %","S(COx), %","S(C2=), %","S(C2-), %","S(C2), %","Y(C2),%",Basicity,Acidity,Electro-negativity,Anion conductivity,p/n conductivity
,value,mol%,value,mol%,value,mol%,value,mol%,value,mol%,value,mol%,,value,mol%,value,mol%,,,,,,,,,,,,,,,,,,,,
,Sr,9.1,Sm,90.9,,,,,,,,,,,,,,190.9,Therm.decomp.,1073,0.80,0.20,4.0,1.0,0.04,,25.5,,,,56.5,14.4,,,,,
,Eu,100.0,,,,,,,,,,,,,,,,9.1,Therm.decomp.,1073,0.80,0.20,4.0,1.0,0.04,,22.8,,,,47.8,10.9,,,,,
,Sr,9.1,Eu,90.9,,,,,,,,,,,,,,190.9,Therm.decomp.,1073,0.80,0.20,4.0,1.0,0.04,,26.0,,,,53.8,14.0,,,,,
,Yb,100.0,,,,,,,,,,,,,,,,9.1,Therm.decomp.,1073,0.80,0.20,4.0,1.0,0.04,,10.0,,,,48.2,4.8,,,,,
,Sr,9.1,Yb,90.9,,,,,,,,,,,,,,100.0,Therm.decomp.,1073,0.80,0.20,4.0,1.0,0.04,,25.0,,,,52.8,13.2,,,,,
,Sr,9.1,Ce,90.9,,,,,,,,,,,,,,100.0,Therm.decomp.,1073,0.80,0.20,4.0,1.0,0.04,,17.0,,,,57.6,9.8,,,,,
,Sr,9.1,Pr,90.9,,,,,,,,,,,,,,100.0,Therm.decomp.,1073,0.80,0.20,4.0,1.0,0.04,,24.0,,,,41.7,10.0,,,,,
,Sr,9.1,Nd,90.9,,,,,,,,,,,,,,100.0,Therm.decomp.,1073,0.80,0.20,4.0,1.0,0.04,,26.0,,,,53.1,13.8,,,,,
,Sr,9.1,Gd,90.9,,,,,,,,,,,,,,100.0,Therm.decomp.,1073,0.80,0.20,4.0,1.0,0.04,,25.0,,,,55.2,13.8,,,,,
,Sr,9.1,Dy,90.9,,,,,,,,,,,,,,100.0,Therm.decomp.,1073,0.80,0.20,4.0,1.0,0.04,,15.0,,,,33.3,5.0,,,,,
,Sr,9.1,Er,90.9,,,,,,,,,,,,,,190.9,Therm.decomp.,1073,0.80,0.20,4.0,1.0,0.04,,25.0,,,,56.0,14.0,,,,,
342,Y,100.0,,,,,,,,,,,,,,,,3.3,Therm.decomp.,1023,0.17,0.07,2.5,1.0,0.60,92.8,30.3,73.8,18.0,8.2,26.2,7.9,,,,,
,Ba,3.3,Y,90.0,,,,,F,6.7,,,,,,,,106.7,Therm.decomp.,1023,0.17,0.07,2.5,1.0,0.60,94.0,32.5,50.8,25.0,24.2,49.2,16.0,,,,,
,Ba,10.0,Y,70.0,,,,,F,20.0,,,,,,,,106.7,Therm.decomp.,1023,0.17,0.07,2.5,1.0,0.60,92.4,38.2,53.4,29.9,16.7,46.6,17.8,,,,,
,Ba,16.7,Y,50.0,,,,,F,33.3,,,,,,,,106.6,Therm.decomp.,1023,0.17,0.07,2.5,1.0,0.60,92.2,36.7,46.8,30.8,22.4,53.2,19.5,,,,,
,Ba,23.3,Y,30.0,,,,,F,46.7,,,,,,,,108.4,Therm.decomp.,1023,0.17,0.07,2.5,1.0,0.60,92.1,36.3,42.6,34.0,23.4,57.4,20.8,,,,,
,Ba,31.7,Y,5.0,,,,,F,63.3,,,,,,,,168.3,Therm.decomp.,1023,0.17,0.07,2.5,1.0,0.60,80.1,36.1,37.9,41.3,20.8,62.1,22.4,,,,,
343,Nd,100.0,,,,,,,,,,,,,,,,30.0,Impregnation,1023,0.17,0.07,2.5,1.0,0.60,,28.1,66.7,,,33.3,9.4,,,,,
,Ba,30.0,Nd,70.0,,,,,,,,,,,,,,80.0,Impregnation,1023,0.17,0.07,2.5,1.0,0.60,,35.9,54.6,,,45.4,16.3,,,,,
,Ba,10.0,Nd,70.0,,,,,F,20.0,,,,,,,,100.0,Impregnation,1023,0.17,0.07,2.5,1.0,0.60,,33.8,47.6,,,52.4,17.7,,,,,
,Ba,10.0,Nd,70.0,,,,,Cl,20.0,,,,,,,,100.0,Impregnation,1023,0.17,0.07,2.5,1.0,0.60,,42.4,49.3,,,50.7,21.5,,,,,
,Ba,10.0,Nd,70.0,,,,,Br,20.0,,,,,,,,92.1,Impregnation,1023,0.17,0.07,2.5,1.0,0.60,,35.9,53.1,,,46.9,16.8,,,,,
344,Mn,2.1,Na,2.1,W,1.00,,,,,,,,Si,94.8,,,100.0,Impregnation,1123,0.16,0.04,4.6,1.0,1.33,,33.0,,,,80.0,26.4,,,,,
,Na,2.1,W,1.0,,,,,,,,,,Si,96.9,,,100.1,Impregnation,1123,0.16,0.04,4.6,1.0,1.33,,44.0,,,,52.0,22.9,,,,,
,Mn,2.2,W,1.1,,,,,,,,,,Si,96.7,,,99.8,Impregnation,1123,0.16,0.04,4.6,1.0,1.33,,20.0,,,,40.0,8.0,,,,,
,Mn,2.0,,,,,,,,,,,,Si,98.0,,,99.1,Impregnation,1123,0.16,0.04,4.6,1.0,1.33,,23.0,,,,23.0,5.3,,,,,
,W,1.1,,,,,,,,,,,,Si,98.9,,,198.9,Impregnation,1123,0.16,0.04,4.6,1.0,1.33,,12.0,,,,20.0,2.4,,,,,
345,Nd,100.0,,,,,,,,,,,,,,,,0.5,precipitation,1023,0.60,0.06,10.0,1.0,0.03,97.0,10.9,,,,50.6,5.5,,,,,
,Sr,.5,Nd,99.5,,,,,,,,,,,,,,101.7,precipitation,1023,0.60,0.06,10.0,1.0,0.03,97.4,12.5,,,,63.8,8.0,,,,,
346,Mn,2.2,Na,2.1,W,1.00,,,,,,,,Si,94.7,,,99.3,Impregnation,1023,0.22,0.03,7.4,1.0,0.02,,2.7,,,,78.0,2.1,,,,,
,Mn,1.5,Na,1.4,W,0.70,Mg,96.40,,,,,,,,,,98.6,Impregnation,1023,0.22,0.03,7.4,1.0,0.02,,3.0,,,,88.0,2.6,,,,,
347,Na,.1,Ca,99.9,,,,,,,,,,,,,,,Impregnation,1073,0.80,0.20,4.0,1.0,,,29.0,,,,61.9,18.0,,,,,
,Na,1.8,Ca,98.2,,,,,,,,,,,,,,,Impregnation,1073,0.80,0.20,4.0,1.0,,,28.2,,,,61.9,17.5,,,,,
,Na,16.7,Ca,83.3,,,,,,,,,,,,,,,Impregnation,1073,0.80,0.20,4.0,1.0,,,28.5,,,,62.8,17.9,,,,,
,Ce,.1,Ca,99.9,,,,,,,,,,,,,,,Impregnation,1073,0.80,0.20,4.0,1.0,,,27.2,,,,43.9,11.9,,,,,
,Ce,.1,Na,1.8,Ca,98.10,,,,,,,,,,,,,Impregnation,1073,0.80,0.20,4.0,1.0,,,28.8,,,,63.4,18.3,,,,,
,Ce,.3,Na,1.8,Ca,97.90,,,,,,,,,,,,,Impregnation,1073,0.80,0.20,4.0,1.0,,,28.3,,,,62.6,17.7,,,,,
,Ce,.7,Na,1.8,Ca,97.50,,,,,,,,,,,,,Impregnation,1073,0.80,0.20,4.0,1.0,,,28.5,,,,60.0,17.1,,,,,
,Ce,1.3,Na,1.8,Ca,96.90,,,,,,,,,,,,,Impregnation,1073,0.80,0.20,4.0,1.0,,,28.3,,,,60.7,17.2,,,,,
,Ce,50.0,Ca,50.0,,,,,,,,,,,,,,,Impregnation,1073,0.80,0.20,4.0,1.0,,,21.6,,,,30.8,6.7,,,,,
348,K,4.2,,,,,,,P,2.1,,,,Si,93.7,,,,Precipitation,1073,0.80,0.20,4.0,1.0,,,25.9,,,,51.0,13.2,,,,,
,Mn,.2,K,4.2,,,,,P,2.1,,,,Si,93.5,,,,Precipitation,1073,0.80,0.20,4.0,1.0,,,22.1,,,,37.9,8.4,,,,,
,Mn,.2,K,3.0,,,,,P,1.5,,,,Si,95.3,,,,Precipitation,1073,0.80,0.20,4.0,1.0,,,22.2,,,,37.8,8.4,,,,,
,Mn,.5,K,4.2,,,,,P,2.1,,,,Si,93.2,,,,Precipitation,1073,0.80,0.20,4.0,1.0,,,25.5,,,,50.0,12.8,,,,,
,Mn,.8,K,5.8,,,,,P,2.9,,,,Si,90.5,,,,Precipitation,1073,0.80,0.20,4.0,1.0,,,16.9,,,,25.5,4.3,,,,,
,Mn,.9,,,,,,,,,,,,Si,99.1,,,,Precipitation,1073,0.80,0.20,4.0,1.0,,,14.6,,,,17.6,2.6,,,,,
,Mn,2.6,K,1.5,,,,,,,,,,Al,95.9,,,,Precipitation,1073,0.80,0.20,4.0,1.0,,,18.3,,,,21.6,4.0,,,,,
349,La,100.0,,,,,,,,,,,,,,,,6.7,Therm.decomp.,973,0.75,0.15,5.0,1.0,0.18,100.0,29.4,62.8,21.5,15.7,37.2,10.9,,,,,
,Sr,6.7,La,80.0,,,,,F,13.3,,,,,,,,193.3,Therm.decomp.,973,0.75,0.15,5.0,1.0,0.18,98.1,34.2,42.7,36.1,21.2,57.3,19.6,,,,,
,Nd,100.0,,,,,,,,,,,,,,,,6.7,Therm.decomp.,1023,0.75,0.15,5.0,1.0,0.18,99.1,27.2,60.7,20.1,19.2,39.3,10.7,,,,,
,Sr,6.7,Nd,80.0,,,,,F,13.3,,,,,,,,193.3,Therm.decomp.,1023,0.75,0.15,5.0,1.0,0.18,98.9,34.3,42.9,33.1,24.0,57.1,19.6,,,,,
,Sm,100.0,,,,,,,,,,,,,,,,6.7,Therm.decomp.,1073,0.75,0.15,5.0,1.0,0.18,99.2,26.3,61.2,21.6,17.2,38.8,10.2,,,,,
,Sr,6.7,Sm,80.0,,,,,F,13.3,,,,,,,,193.3,Therm.decomp.,1073,0.75,0.15,5.0,1.0,0.18,99.5,34.0,44.2,33.1,22.7,55.8,19.0,,,,,
,Eu,100.0,,,,,,,,,,,,,,,,6.7,Therm.decomp.,1023,0.75,0.15,5.0,1.0,0.18,98.4,26.3,66.9,21.8,11.3,33.1,8.7,,,,,
,Sr,6.7,Eu,80.0,,,,,F,13.3,,,,,,,,193.3,Therm.decomp.,1023,0.75,0.15,5.0,1.0,0.18,99.0,33.1,47.1,31.9,21.0,52.9,17.5,,,,,
,Gd,100.0,,,,,,,,,,,,,,,,6.7,Therm.decomp.,1023,0.75,0.15,5.0,1.0,0.18,99.7,29.5,66.5,20.1,13.4,33.5,9.9,,,,,
,Sr,6.7,Gd,80.0,,,,,F,13.3,,,,,,,,193.3,Therm.decomp.,1023,0.75,0.15,5.0,1.0,0.18,99.5,34.4,45.4,32.0,22.6,54.6,18.8,,,,,
,Dy,100.0,,,,,,,,,,,,,,,,6.7,Therm.decomp.,1023,0.75,0.15,5.0,1.0,0.18,99.5,31.3,57.4,25.0,17.6,42.6,13.3,,,,,
,Sr,6.7,Dy,80.0,,,,,F,13.3,,,,,,,,193.3,Therm.decomp.,1023,0.75,0.15,5.0,1.0,0.18,96.3,32.6,48.5,32.0,19.5,51.5,16.8,,,,,
,Ho,100.0,,,,,,,,,,,,,,,,6.7,Therm.decomp.,1023,0.75,0.15,5.0,1.0,0.18,99.3,28.8,67.0,19.9,13.1,33.0,9.5,,,,,
,Sr,6.7,Ho,80.0,,,,,F,13.3,,,,,,,,193.3,Therm.decomp.,1023,0.75,0.15,5.0,1.0,0.18,97.3,30.8,54.2,26.7,19.1,45.8,14.1,,,,,
,Er,100.0,,,,,,,,,,,,,,,,6.7,Therm.decomp.,1023,0.75,0.15,5.0,1.0,0.18,99.1,27.6,65.6,20.0,14.4,34.4,9.5,,,,,
,Sr,6.7,Er,80.0,,,,,F,13.3,,,,,,,,193.3,Therm.decomp.,1023,0.75,0.15,5.0,1.0,0.18,96.6,29.3,57.1,23.8,19.1,42.9,12.6,,,,,
,Tm,100.0,,,,,,,,,,,,,,,,6.7,Therm.decomp.,1023,0.75,0.15,5.0,1.0,0.18,99.4,26.4,72.0,16.4,11.6,28.0,7.4,,,,,
,Sr,6.7,Tm,80.0,,,,,F,13.3,,,,,,,,193.3,Therm.decomp.,1023,0.75,0.15,5.0,1.0,0.18,99.5,28.6,59.7,21.2,19.1,40.3,11.5,,,,,
,Yb,100.0,,,,,,,,,,,,,,,,6.7,Therm.decomp.,1023,0.75,0.15,5.0,1.0,0.18,99.4,28.8,68.8,19.3,11.9,31.2,9.0,,,,,
,Sr,6.7,Yb,80.0,,,,,F,13.3,,,,,,,,143.3,Therm.decomp.,1023,0.75,0.15,5.0,1.0,0.18,99.4,28.7,64.3,19.9,15.8,35.7,10.2,,,,,
,La,50.0,,,,,,,F,50.0,,,,,,,,53.3,Therm.decomp.,1053,0.80,0.20,4.0,1.0,0.24,,25.0,53.4,27.2,19.4,46.6,11.7,,,,,
,Ba,3.3,La,45.0,,,,,F,51.7,,,,,,,,196.7,Therm.decomp.,1053,0.80,0.20,4.0,1.0,0.24,,28.7,32.7,44.7,22.6,67.3,19.3,,,,,
350,La,100.0,,,,,,,,,,,,,,,,17.3,Impregnation,1073,0.80,0.20,4.0,1.0,0.04,,25.7,,,,51.0,13.1,,,,,
,La,17.3,,,,,,,,,,,,Si,11.5,Al,71.2,93.7,Impregnation,1073,0.80,0.20,4.0,1.0,0.04,,26.5,,,,53.2,14.1,,,,,
,Sr,11.0,La,17.3,,,,,,,,,,Al,10.0,Si,61.7,189.0,Impregnation,1073,0.80,0.20,4.0,1.0,0.04,,30.9,,,,64.4,19.9,,,,,
,Nd,100.0,,,,,,,,,,,,,,,,17.3,Impregnation,1073,0.80,0.20,4.0,1.0,0.04,,23.5,,,,22.1,5.2,,,,,
,Nd,17.3,,,,,,,,,,,,Al,11.5,Si,71.2,93.7,Impregnation,1073,0.80,0.20,4.0,1.0,0.04,,26.0,,,,48.5,12.6,,,,,
,Sr,11.0,Nd,17.3,,,,,,,,,,Al,10.0,Si,61.7,100.0,Impregnation,1073,0.80,0.20,4.0,1.0,0.04,,29.2,,,,55.8,16.3,,,,,
,Sr,11.0,,,,,,,,,,,,Al,12.4,Si,76.6,97.1,Impregnation,1073,0.80,0.20,4.0,1.0,0.04,,6.1,,,,63.9,3.9,,,,,
,Mg,8.1,La,19.3,,,,,,,,,,Al,10.1,Si,62.5,100.0,Impregnation,1123,0.94,0.06,15.9,1.0,0.04,,9.8,,,,69.4,6.8,,,,,
,Ca,8.1,La,19.3,,,,,,,,,,Al,10.1,Si,62.5,100.0,Impregnation,1123,0.94,0.06,15.9,1.0,0.04,,11.3,,,,77.7,8.8,,,,,
,Sr,8.1,La,19.3,,,,,,,,,,Al,10.1,Si,62.5,100.0,Impregnation,1123,0.94,0.06,15.9,1.0,0.04,,12.5,,,,80.7,10.1,,,,,
,Ba,8.1,La,19.3,,,,,,,,,,Al,10.1,Si,62.5,100.9,impregnation,1123,0.94,0.06,15.9,1.0,0.04,,11.1,,,,72.9,8.1,,,,,
,Sr,9.0,La,16.0,,,,,,,,,,Al,10.4,Si,64.6,100.0,impregnation,1123,0.94,0.06,15.9,1.0,0.04,,12.5,,,,80.7,10.1,,,,,
,Sr,9.0,Ce,16.0,,,,,,,,,,Al,10.4,Si,64.6,100.0,impregnation,1123,0.94,0.06,15.9,1.0,0.04,,0.1,,,,0.0,0.0,,,,,
,Sr,9.0,Nd,16.0,,,,,,,,,,Al,10.4,Si,64.6,100.0,impregnation,1123,0.94,0.06,15.9,1.0,0.04,,11.1,,,,81.7,9.1,,,,,
,Sr,9.0,Sm,16.0,,,,,,,,,,Al,10.4,Si,64.6,100.0,impregnation,1123,0.94,0.06,15.9,1.0,0.04,,6.5,,,,83.8,5.4,,,,,
,Sr,9.0,Gd,16.0,,,,,,,,,,Al,10.4,Si,64.6,100.0,impregnation,1123,0.94,0.06,15.9,1.0,0.04,,7.4,,,,82.5,6.1,,,,,
,Sr,9.0,Er,16.0,,,,,,,,,,Al,10.4,Si,64.6,100.0,impregnation,1123,0.94,0.06,15.9,1.0,0.04,,7.0,,,,81.3,5.7,,,,,
,Sr,9.0,Yb,16.0,,,,,,,,,,Al,10.4,Si,64.6,114.1,impregnation,1123,0.94,0.06,15.9,1.0,0.04,,8.9,,,,75.5,6.7,,,,,
351,Sr,23.1,Zr,30.8,,,,,P,46.1,,,,,,,,136.3,Therm.decomp.,1023,0.17,0.08,2.0,1.0,0.60,,16.5,,,,15.3,2.5,,,,,
352,Ca,59.4,Pb,3.1,,,,,P,37.5,,,,,,,,,Therm.decomp.,1073,0.22,0.15,1.5,1.0,0.80,,37.7,,33.9,15.4,49.3,18.6,,,,,
,Ca,62.5,,,,,,,P,37.5,,,,,,,,,Therm.decomp.,1073,0.22,0.15,1.5,1.0,0.80,,35.9,,28.7,10.3,39.0,14.0,,,,,
,Ca,60.9,Pb,1.6,,,,,P,37.5,,,,,,,,,Therm.decomp.,1073,0.22,0.15,1.5,1.0,0.80,,39.0,,37.8,14.7,52.5,20.5,,,,,
,Ca,56.3,Pb,6.3,,,,,P,37.4,,,,,,,,,Therm.decomp.,1073,0.22,0.15,1.5,1.0,0.80,,40.8,,38.9,16.9,55.8,22.8,,,,,
,Ca,53.1,Pb,9.4,,,,,P,37.5,,,,,,,,,Therm.decomp.,1073,0.22,0.15,1.5,1.0,0.80,,38.6,,37.6,15.5,53.1,20.5,,,,,
,Ca,50.0,Pb,12.5,,,,,P,37.5,,,,,,,,,Therm.decomp.,1073,0.22,0.15,1.5,1.0,0.80,,38.4,,37.0,15.6,52.6,20.2,,,,,
,Ca,43.8,Pb,18.8,,,,,P,37.4,,,,,,,,,Therm.decomp.,1073,0.22,0.15,1.5,1.0,0.80,,34.5,,38.8,14.0,52.8,18.2,,,,,
353,Mg,100.0,,,,,,,,,,,,,,,,,n.a.,1173,0.50,0.21,2.4,1.0,1.50,,20.6,,,,48.9,10.1,,,,,
,Li,.7,Mg,99.3,,,,,,,,,,,,,,,Impregnation,1173,0.50,0.21,2.4,1.0,1.50,93.0,23.3,,44.0,16.0,60.0,14.0,,,,,
,Li,10.0,Mg,90.0,,,,,,,,,,,,,,,Impregnation,1173,0.50,0.21,2.4,1.0,1.50,,22.5,,47.9,7.2,55.1,12.4,,,,,
,Na,3.0,Mg,97.0,,,,,,,,,,,,,,,Impregnation,1173,0.50,0.21,2.4,1.0,1.50,93.0,21.5,,36.8,21.5,58.3,12.5,,,,,
,K,4.0,Mg,96.0,,,,,,,,,,,,,,,Impregnation,1173,0.50,0.21,2.4,1.0,1.50,,19.3,,32.2,14.5,46.7,9.0,,,,,
,Si,100.0,,,,,,,,,,,,,,,,,n.a.,1173,0.50,0.21,2.4,1.0,1.50,,14.0,,12.1,9.6,21.7,3.0,,,,,
,Na,2.0,,,,,,,,,,,,Si,98.0,,,,Impregnation,1173,0.50,0.21,2.4,1.0,1.50,54.0,13.4,,30.1,11.0,41.1,5.5,,,,,
,Li,.6,,,,,,,,,,,,Si,99.4,,,,Impregnation,1173,0.50,0.21,2.4,1.0,1.50,,14.2,,30.2,9.0,39.2,5.6,,,,,
,Si,50.0,,,,,,,C,50.0,,,,,,,,,n.a.,1173,0.50,0.21,2.4,1.0,1.50,,2.6,,19.2,38.5,57.7,1.5,,,,,
,Al,100.0,,,,,,,,,,,,,,,,,n.a.,1173,0.50,0.21,2.4,1.0,1.50,,2.6,,21.4,38.2,59.6,1.5,,,,,
,Li,3.0,,,,,,,,,,,,Al,97.0,,,,Impregnation,1173,0.50,0.21,2.4,1.0,1.50,60.0,14.9,,31.2,10.2,41.4,6.2,,,,,
,Li,.5,,,,,,,,,,,,Ti,99.5,,,,Impregnation,1173,0.50,0.21,2.4,1.0,1.50,,20.5,,37.1,10.1,47.2,9.7,,,,,
354,Li,25.0,Sb,25.0,Te,50.00,,,,,,,,,,,,#VALUE!,Therm.decomp.,973,0.17,0.03,5.1,1.0,1.20,,17.0,,58.0,8.0,66.0,11.2,,,,,
355,Si,100.0,,,,,,,,,,,,,,,,1.8,impregnation,1123,0.09,0.02,4.5,1.0,1.80,,17.0,,,15.0,23.0,3.9,,,,,
,Li,1.8,,,,,,,,,,,,Si,98.2,,,100.0,impregnation,1123,0.09,0.02,4.5,1.0,1.80,,6.0,,,0.0,0.0,0.0,,,,,
,Na,1.8,,,,,,,,,,,,Si,98.2,,,100.0,impregnation,1123,0.09,0.02,4.5,1.0,1.80,,2.0,,,0.0,0.0,0.0,,,,,
,K,1.8,,,,,,,,,,,,Si,98.2,,,100.0,impregnation,1123,0.09,0.02,4.5,1.0,1.80,,2.0,,,0.0,0.0,0.0,,,,,
,Rb,1.8,,,,,,,,,,,,Si,98.2,,,100.0,impregnation,1123,0.09,0.02,4.5,1.0,1.80,,2.0,,,0.0,8.0,0.2,,,,,
,Cs,1.8,,,,,,,,,,,,Si,98.2,,,100.0,impregnation,1123,0.09,0.02,4.5,1.0,1.80,,5.0,,,0.0,10.0,0.5,,,,,
,Mg,1.8,,,,,,,,,,,,Si,98.2,,,100.0,impregnation,1123,0.09,0.02,4.5,1.0,1.80,,15.0,,,0.0,20.0,3.0,,,,,
,Ca,1.8,,,,,,,,,,,,Si,98.2,,,99.4,impregnation,1123,0.09,0.02,4.5,1.0,1.80,,15.0,,,0.0,21.0,3.2,,,,,
,Na,1.2,W,.6,,,,,,,,,,Si,98.2,,,100.0,impregnation,1123,0.09,0.02,4.5,1.0,1.80,,44.0,,,42.0,52.0,22.9,,,,,
,K,1.2,W,.6,,,,,,,,,,Si,98.2,,,100.0,impregnation,1123,0.09,0.02,4.5,1.0,1.80,,30.0,,,52.0,67.0,20.1,,,,,
,Rb,1.2,W,.6,,,,,,,,,,Si,98.2,,,100.0,impregnation,1123,0.09,0.02,4.5,1.0,1.80,,32.0,,,59.0,78.0,25.0,,,,,
,Cs,1.2,W,.6,,,,,,,,,,Si,98.2,,,100.0,impregnation,1123,0.09,0.02,4.5,1.0,1.80,,33.0,,,39.0,55.0,18.2,,,,,
,Li,1.2,W,.6,,,,,,,,,,Si,98.2,,,99.7,impregnation,1123,0.09,0.02,4.5,1.0,1.80,,36.0,,,26.0,27.0,9.7,,,,,
,Ca,.9,W,.9,,,,,,,,,,Si,98.2,,,100.0,impregnation,1123,0.09,0.02,4.5,1.0,1.80,,16.0,,,20.0,25.0,4.0,,,,,
,Mg,.9,W,.9,,,,,,,,,,Si,98.2,,,199.1,impregnation,1123,0.09,0.02,4.5,1.0,1.80,,20.0,,,15.0,20.0,4.0,,,,,
356,Ca,100.0,,,,,,,,,,,,,,,,21.9,impregnation,973,0.50,0.10,5.0,1.0,0.21,33.3,4.7,,,,16.0,0.8,,,,,
,Na,21.9,Ca,78.1,,,,,,,,,,,,,,106.2,impregnation,973,0.50,0.10,5.0,1.0,0.21,14.4,4.2,,,,73.5,3.1,,,,,
,Ce,28.1,Na,15.7,Ca,56.20,,,,,,,,,,,,76.2,impregnation,973,0.50,0.10,5.0,1.0,0.21,23.2,5.0,,,,56.4,2.8,,,,,
357,Ni,10.0,,,,,,,,,,,,La,90.0,,,95.3,impregnation,923,0.83,0.17,5.0,1.0,0.45,,42.0,,,,0.0,0.0,,,,,
,Ni,5.3,,,,,,,,,,,,Sm,94.7,,,104.7,impregnation,823,0.83,0.17,5.0,1.0,0.45,,6.0,,,,58.0,3.5,,,,,
,Ni,10.0,,,,,,,,,,,,Ce,90.0,,,99.1,impregnation,823,0.83,0.17,5.0,1.0,0.45,,25.0,,,,62.0,15.5,,,,,
358,La,9.1,Mg,90.9,,,,,,,,,,,,,,103.8,Therm.decomp.,1023,0.80,0.20,4.0,1.0,0.07,,30.0,,,,56.7,17.0,,,,,
359,Li,12.9,Mg,87.1,,,,,,,,,,,,,,96.2,impregnation,1173,0.09,0.02,4.1,1.0,0.45,,25.0,,,,97.0,24.3,,,,,
360,Li,9.1,Mg,90.9,,,,,,,,,,,,,,92.9,precipitation,1023,0.75,0.25,3.0,1.0,0.35,,36.1,,,,60.1,21.7,,,,,
361,Ca,62.6,,,,,,,Cl,9.3,P,28.1,,,,,,78.0,precipitation,1023,0.17,0.08,2.0,1.0,0.60,,7.3,78.9,0.0,21.1,21.1,1.5,,,,,
,Ca,40.6,,,,,,,Cl,56.0,P,3.4,,,,,,60.4,precipitation,1023,0.17,0.08,2.0,1.0,0.60,,39.3,43.7,51.0,5.3,56.3,22.1,,,,,
,Pb,1.0,Ca,40.0,,,,,Cl,56.0,P,3.0,,,,,,99.8,precipitation,1023,0.17,0.08,2.0,1.0,0.60,,39.0,40.8,53.7,5.5,59.2,23.1,,,,,
,Ni,.8,Ca,40.0,,,,,Cl,56.0,P,3.2,,,,,,99.9,precipitation,1023,0.17,0.08,2.0,1.0,0.60,,38.8,43.5,51.7,4.8,56.5,21.9,,,,,
,Zn,.7,Ca,35.6,,,,,Cl,45.9,P,17.8,,,,,,101.3,precipitation,1023,0.17,0.08,2.0,1.0,0.60,,36.6,41.7,49.3,9.0,58.3,21.3,,,,,
362,W,2.0,,,,,,,,,,,,Si,98.0,,,101.8,impregnation,923,0.90,0.10,9.0,1.0,0.60,,1.2,,0.4,6.8,7.2,0.1,,,,,
,K,3.8,W,1.2,,,,,,,,,,Si,95.0,,,100.0,impregnation,923,0.90,0.10,9.0,1.0,0.60,,1.5,,8.0,26.2,34.2,0.5,,,,,
,K,3.8,W,1.2,,,,,,,,,,Ti,95.0,,,100.0,impregnation,923,0.90,0.10,9.0,1.0,0.60,,2.6,,0.5,5.8,6.3,0.2,,,,,
,K,3.8,W,1.2,,,,,,,,,,Al,95.0,,,100.0,impregnation,923,0.90,0.10,9.0,1.0,0.60,,3.3,,0.0,1.4,1.4,0.0,,,,,
,K,3.8,W,1.2,,,,,,,,,,Mg,95.0,,,106.2,impregnation,923,0.90,0.10,9.0,1.0,0.60,,2.6,,0.4,3.3,3.7,0.1,,,,,
363,Sm,10.0,Y,15.0,Bi,75.00,,,,,,,,,,,,90.8,Therm.decomp.,1223,0.33,0.17,2.0,1.0,0.40,,43.1,,,,62.0,26.7,,,,,
364,Sr,.8,,,,,,,,,,,,La,99.2,,,100.0,impregnation,923,0.78,0.22,3.6,1.0,0.06,,23.0,,,,52.0,12.0,,,,,
,Sr,.8,Ni,2.6,,,,,,,,,,La,96.6,,,199.2,impregnation,923,0.78,0.22,3.6,1.0,0.06,,38.0,,,,2.0,0.8,,,,,
365,Si,100.0,,,,,,,,,,,,,,,,4.0,impregnation,1050,0.88,0.12,7.5,1.0,0.22,,0.0,,0.0,,0.0,0.0,,,,,
,Mn,4.0,,,,,,,,,,,,Si,96.0,,,105.1,impregnation,1050,0.88,0.12,7.5,1.0,0.22,,0.0,,0.0,,0.0,0.0,,,,,
,Na,9.1,W,4.5,,,,,,,,,,Si,86.4,,,94.5,impregnation,1050,0.88,0.12,7.5,1.0,0.22,,11.0,,17.0,,63.0,6.9,,,,,
,V,3.6,Na,9.1,W,4.50,,,,,,,,Si,82.8,,,100.0,impregnation,1050,0.88,0.12,7.5,1.0,0.22,,10.0,,4.0,,12.0,1.2,,,,,
,Cr,3.6,Na,9.1,W,4.50,,,,,,,,Si,82.8,,,100.0,impregnation,1050,0.88,0.12,7.5,1.0,0.22,,10.0,,9.0,,24.0,2.4,,,,,
,Mn,3.6,Na,9.1,W,4.50,,,,,,,,Si,82.8,,,100.0,impregnation,1050,0.88,0.12,7.5,1.0,0.22,,20.0,,46.0,,80.0,16.0,,,,,
,Fe,3.6,Na,9.1,W,4.50,,,,,,,,Si,82.8,,,100.0,impregnation,1050,0.88,0.12,7.5,1.0,0.22,,15.0,,30.0,,60.0,9.0,,,,,
,Co,3.6,Na,9.1,W,4.50,,,,,,,,Si,82.8,,,100.0,impregnation,1050,0.88,0.12,7.5,1.0,0.22,,16.0,,40.0,,68.0,10.9,,,,,
