Nr of publication,Cation 1,,Cation 2,,Cation 3,,Cation 4,,Anion 1,,Anion 2,,Pro- motor,Support 1,,Support 2,,,Preparation,"Temperature, K","p(CH4), bar","p(O2), bar",p(CH4)/p(O2),"P total, bar","Contact time, s","X(O2), %","X(CH4), %","S(COx), %","S(C2=), %","S(C2-), %","S(C2), %","Y(C2),%",Basicity,Acidity,Electro-negativity,Anion conductivity,p/n conductivity
,value,mol%,value,mol%,value,mol%,value,mol%,value,mol%,value,mol%,,value,mol%,value,mol%,,,,,,,,,,,,,,,,,,,,
,Sr,.5,La,99.5,,,,,,,,,,,,,,,Impregnation,1023,0.30,0.05,6.0,1.0,0.10,100.0,21.2,,28.9,35.2,89.8,19.0,,,,,
,Sr,.8,La,99.2,,,,,,,,,,,,,,,Impregnation,1023,0.30,0.05,6.0,1.0,0.10,100.0,21.4,,29.0,36.2,90.8,19.4,,,,,
,Sr,1.5,La,98.5,,,,,,,,,,,,,,,Impregnation,1023,0.30,0.05,6.0,1.0,0.10,100.0,20.9,,28.7,34.9,91.8,19.2,,,,,
,Sr,3.0,La,97.0,,,,,,,,,,,,,,,Impregnation,1023,0.30,0.05,6.0,1.0,0.10,100.0,21.0,,28.9,35.8,92.8,19.5,,,,,
,Sr,15.0,La,85.0,,,,,,,,,,,,,,,Impregnation,1023,0.30,0.05,6.0,1.0,0.10,100.0,19.6,,28.0,35.2,93.8,18.4,,,,,
,La,67.0,Ce,1.0,Re,32.00,,,,,,,,,,,,,Impregnation,1023,0.30,0.05,6.0,1.0,0.10,100.0,16.5,,17.8,30.0,94.8,15.6,,,,,
,La,60.0,Ce,10.0,Re,30.00,,,,,,,,,,,,,Impregnation,1023,0.30,0.05,6.0,1.0,0.10,100.0,15.5,,18.4,31.8,95.8,14.8,,,,,
,La,40.0,Ce,40.0,Re,20.00,,,,,,,,,,,,,Impregnation,1023,0.30,0.05,6.0,1.0,0.10,100.0,11.6,,7.9,16.2,96.8,11.2,,,,,
,Ce,100.0,,,,,,,,,,,,,,,,,n.a.,1023,0.30,0.05,6.0,1.0,0.10,100.0,9.3,,0.3,1.6,97.8,9.1,,,,,
,Pb,10.0,,,,,,,,,,,,Si,90.0,,,,Impregnation,1173,0.30,0.05,6.0,1.0,0.10,50.0,8.5,,27.0,31.1,98.8,8.4,,,,,
8,Pb,5.6,,,,,,,,,,,,Si,94.4,,,109.3,Impregnation,1013,0.70,0.07,10.0,1.0,0.15,60.0,7.7,,32.0,39.0,70.5,5.4,,,,,
9,Na,14.9,Mg,85.1,,,,,,,,,,,,,,96.2,n.a.,1073,0.03,0.01,1.9,1.0,2.40,,39.0,,,,57.0,22.2,,,,,
10,Li,11.1,Sm,88.9,,,,,,,,,,,,,,101.4,n.a.,1023,0.05,0.02,2.6,1.0,0.60,80.0,28.8,,59.0,10.8,70.0,20.2,,,,,
11,Li,12.5,Zn,87.5,,,,,,,,,,,,,,91.8,n.a.,1013,0.11,0.06,1.9,1.0,2.40,90.0,40.0,,,,62.1,24.8,,,,,
12,Pb,4.3,Mg,95.7,,,,,,,,,,,,,,110.0,Impregnation,1023,0.61,0.02,38.3,1.0,0.16,84.0,10.0,34.0,13.0,53.0,66.0,6.6,,,,,
13,Li,14.3,Ca,85.7,,,,,,,,,,,,,,135.7,n.a.,984,0.50,0.11,4.7,1.0,7.20,,20.0,,39.0,27.0,66.0,13.2,,,,,
,Na,50.0,Ca,50.0,,,,,,,,,,,,,,#VALUE!,n.a.,980,0.50,0.11,4.7,1.0,7.20,,15.0,,36.0,37.0,73.0,11.0,,,,,
14,Li,16.7,Ni,66.6,,,,,Br,16.7,,,,,,,,100.0,Impregnation,1023,0.05,0.03,2.0,1.0,0.60,94.0,35.1,,43.0,3.0,46.0,16.1,,,,,
,Li,16.7,Ni,66.6,,,,,Cl,16.7,,,,,,,,133.3,Impregnation,1023,0.05,0.03,2.0,1.0,0.60,57.0,25.9,,56.0,16.0,72.0,18.6,,,,,
15,La,50.0,Al,50.0,,,,,,,,,,,,,,70.0,n.a.,983,0.51,0.11,4.8,1.0,0.45,94.7,25.3,,,,48.4,12.2,,,,,
16,Li,20.0,Sm,80.0,,,,,,,,,,,,,,82.0,Impregnation,1023,0.05,0.02,2.5,1.0,0.60,90.0,41.2,,26.0,28.0,54.1,22.3,,,,,
17,Li,2.0,Ba,98.0,,,,,,,,,,,,,,100.0,n.a.,1073,0.03,0.01,1.9,1.0,2.40,,37.0,,,,50.0,18.5,,,,,
,Na,2.0,Ba,98.0,,,,,,,,,,,,,,100.0,n.a.,1073,0.03,0.01,1.9,1.0,2.40,,36.0,,,,42.0,15.1,,,,,
,K,2.0,Ba,98.0,,,,,,,,,,,,,,100.0,n.a.,1073,0.03,0.01,1.9,1.0,2.40,,48.0,,,,42.0,20.2,,,,,
,Rb,2.0,Ba,98.0,,,,,,,,,,,,,,99.7,n.a.,1073,0.03,0.01,1.9,1.0,2.40,,45.0,,,,38.0,17.1,,,,,
18,Pb,10.0,,,,,,,,,,,,Al,90.0,,,91.7,n.a.,923,0.58,0.09,6.4,1.0,0.03,,13.1,,,,56.2,7.4,,,,,
19,Bi,1.7,K,7.1,,,,,,,,,,Al,91.2,,,100.7,Pyrolysis,913,0.51,0.25,2.0,1.0,0.01,87.0,6.6,,,,23.9,1.6,,,,,
20,Li,2.4,Ca,96.4,,,,,C,1.2,,,,,,,,,Impregnation,1013,0.52,0.06,9.0,1.0,0.37,92.0,15.0,,,,76.0,11.4,,,,,
,Li,11.6,Ca,82.6,,,,,C,5.8,,,,,,,,,Impregnation,1013,0.52,0.06,9.0,1.0,0.44,93.0,16.0,,,,77.0,12.3,,,,,
,Na,7.0,Ca,89.5,,,,,C,3.5,,,,,,,,,Impregnation,1013,0.52,0.06,9.0,1.0,0.14,83.0,15.0,,,,78.0,11.7,,,,,
,Na,12.4,Ca,81.4,,,,,C,6.2,,,,,,,,,Impregnation,1013,0.52,0.06,9.0,1.0,0.81,91.0,12.0,,,,70.0,8.4,,,,,
